Date,Open,High,Low,Close,Adj Close,Volume
2008-09-05,332.000000,343.000000,329.000000,335.000000,-402273370112.000000,2570000
2008-09-08,336.000000,350.000000,336.000000,343.000000,-411879964672.000000,3674000
2008-09-09,342.000000,347.989990,337.864990,337.864990,-405713747968.000000,151000
2008-09-10,319.382996,319.382996,319.382996,319.382996,-383520276480.000000,23000
2008-09-11,300.000000,307.000000,290.200012,290.799988,-349197303808.000000,5188000
2008-09-12,296.140015,296.140015,296.140015,296.140991,-355610853376.000000,120000
2008-09-16,271.100006,286.899994,270.000000,284.500000,-341632188416.000000,2882000
2008-09-17,281.500000,281.500000,281.500000,281.500000,-338029707264.000000,62000
2008-09-18,284.100006,288.899994,277.100006,287.200012,-344874352640.000000,1643000
2008-09-19,308.480988,308.480988,308.480988,308.480988,-370428903424.000000,6000
2008-09-22,325.000000,332.000000,321.000000,327.000000,-392666906624.000000,2980000
2008-09-24,339.727997,339.727997,339.727997,339.727997,-407950819328.000000,3000
2008-09-25,326.000000,333.000000,321.000000,327.000000,36445360128.000000,1826000
2008-09-26,327.000000,330.000000,298.399994,300.000000,33436110848.000000,3844000
2008-09-29,305.000000,306.000000,282.799988,284.799988,31742011392.000000,2544000
2008-09-30,265.000000,289.899994,264.500000,289.899994,32310427648.000000,1743000
2008-10-01,296.000000,299.399994,286.700012,292.100006,32555624448.000000,1186000
2008-10-02,276.000000,276.000000,276.000000,276.000000,30761218048.000000,10000
2008-10-03,265.899994,270.200012,235.500000,253.899994,28298096640.000000,3461000
2008-10-06,242.899994,242.899994,227.100006,230.000000,25634344960.000000,1833000
2008-10-07,210.000000,270.000000,202.600006,269.399994,30025629696.000000,5085000
2008-10-08,229.399994,243.899994,229.399994,235.199997,26213904384.000000,3184000
2008-10-09,251.052994,252.000000,251.052994,252.000000,28086331392.000000,81000
2008-10-10,222.000000,259.899994,220.000000,252.000000,28086331392.000000,2318000
2008-10-14,null,null,null,null,null,null
2008-10-15,292.000000,292.000000,287.299988,292.000000,32544475136.000000,1586000
2008-10-16,287.000000,299.799988,281.100006,287.500000,32042930176.000000,1828000
2008-10-17,270.000000,276.700012,251.399994,252.800003,28175499264.000000,1789000
2008-10-20,264.614014,264.614014,264.614014,264.614014,29492209664.000000,61000
2008-10-21,278.000000,281.000000,270.100006,270.100006,30103642112.000000,1774000
2008-10-22,270.000000,275.700012,266.100006,271.500000,30259675136.000000,1699000
2008-10-23,260.000000,265.600006,251.800003,260.000000,28977960960.000000,1169000
2008-10-24,256.000000,256.899994,241.000000,244.000000,27194701824.000000,1667000
2008-10-27,244.000000,256.000000,234.000000,244.800003,27283869696.000000,2054000
2008-10-28,234.000000,277.899994,231.500000,275.000000,30649769984.000000,1946000
2008-10-29,283.000000,296.000000,260.000000,270.500000,30148227072.000000,1908000
2008-10-30,272.291992,272.291992,272.291992,272.291992,30347945984.000000,50000
2008-10-31,274.100006,311.000000,271.000000,311.000000,34662092800.000000,3698000
2008-11-04,321.710999,321.710999,321.710999,321.710999,35855880192.000000,46000
2008-11-05,369.925995,369.925995,369.925995,369.925995,41229619200.000000,1000
2008-11-06,355.000000,390.000000,352.000000,389.000000,43355488256.000000,3200000
2008-11-07,365.000000,385.000000,351.000000,359.000000,40011866112.000000,3807000
2008-11-10,364.000000,383.000000,363.000000,380.000000,42352406528.000000,2204000
2008-11-11,385.000000,408.000000,376.000000,401.000000,44692946944.000000,2851000
2008-11-12,394.000000,401.000000,384.000000,385.000000,42909671424.000000,2270000
2008-11-13,381.686005,381.686005,381.686005,381.686005,42540314624.000000,2000
2008-11-14,385.000000,394.000000,357.000000,374.000000,41683685376.000000,3263000
2008-11-17,367.000000,377.000000,357.000000,364.000000,40569151488.000000,2148000
2008-11-18,365.000000,365.000000,342.000000,362.000000,40346230784.000000,3709000
2008-11-19,369.000000,410.000000,362.000000,373.000000,41572216832.000000,3677000
2008-11-20,360.000000,384.000000,356.000000,374.000000,41683685376.000000,1753000
2008-11-21,359.000000,390.000000,350.000000,386.000000,43021135872.000000,2948000
2008-11-25,413.000000,435.000000,408.000000,426.000000,47479271424.000000,5047000
2008-11-26,439.000000,456.000000,437.000000,450.000000,50154168320.000000,3960000
2008-11-27,446.000000,449.000000,412.000000,416.000000,46364745728.000000,3844000
2008-11-28,416.000000,431.000000,415.000000,427.000000,47590723584.000000,1280000
2008-12-01,424.000000,443.000000,408.000000,417.000000,46476197888.000000,1719000
2008-12-02,403.000000,428.000000,402.000000,425.000000,47367827456.000000,1876000
2008-12-03,415.000000,419.000000,404.000000,406.000000,45250199552.000000,2101000
2008-12-04,396.000000,409.000000,389.000000,397.000000,44247109632.000000,2103000
2008-12-05,413.000000,435.000000,407.000000,427.000000,47590723584.000000,3282000
2008-12-08,430.000000,442.000000,420.000000,440.000000,49039618048.000000,2046000
2008-12-09,445.000000,457.000000,438.000000,453.000000,50488512512.000000,3045000
2008-12-10,453.000000,470.000000,446.000000,467.000000,52048871424.000000,2678000
2008-12-11,461.000000,466.000000,440.000000,440.000000,49039618048.000000,1588000
2008-12-12,445.000000,466.000000,439.000000,444.000000,49485438976.000000,1654000
2008-12-15,454.000000,466.000000,450.000000,454.000000,50599976960.000000,1005000
2008-12-16,446.000000,450.000000,435.000000,443.000000,49373982720.000000,1228000
2008-12-17,450.000000,453.000000,425.000000,436.000000,48593809408.000000,1428000
2008-12-18,440.000000,450.000000,421.000000,421.000000,46921998336.000000,1966000
2008-12-19,427.000000,437.000000,418.000000,424.000000,47256375296.000000,1171000
2008-12-22,409.000000,416.000000,405.000000,409.000000,45584556032.000000,1236000
2008-12-24,406.000000,417.000000,402.000000,408.000000,45473099776.000000,732000
2008-12-25,400.000000,402.000000,385.000000,395.000000,44024217600.000000,1299000
2008-12-26,390.000000,397.000000,385.000000,396.000000,44135653376.000000,1038000
2008-12-29,404.000000,409.000000,400.000000,405.000000,45138751488.000000,926000
2008-12-30,null,null,null,null,null,null
2009-01-05,406.000000,411.000000,400.000000,401.000000,44692946944.000000,1759000
2009-01-06,409.000000,451.000000,408.000000,449.000000,50042720256.000000,3306000
2009-01-07,449.000000,467.000000,428.000000,429.000000,47813623808.000000,2698000
2009-01-08,449.000000,452.000000,426.000000,437.000000,48705273856.000000,1977000
2009-01-09,442.000000,443.000000,427.000000,436.000000,48593809408.000000,996000
2009-01-13,435.000000,435.000000,399.000000,403.000000,44915843072.000000,2658000
2009-01-14,400.000000,403.000000,395.000000,397.000000,44247109632.000000,1349000
2009-01-15,386.000000,395.000000,380.000000,387.000000,43132579840.000000,2283000
2009-01-16,391.000000,392.000000,377.000000,379.000000,42240954368.000000,1338000
2009-01-19,381.000000,388.000000,370.000000,370.000000,41237868544.000000,2568000
2009-01-20,370.000000,376.000000,350.000000,367.000000,40903512064.000000,2793000
2009-01-21,353.000000,382.000000,349.000000,366.000000,40792059904.000000,2350000
2009-01-22,368.000000,379.000000,364.000000,379.000000,42240954368.000000,1679000
2009-01-23,381.000000,385.000000,373.000000,373.000000,41572216832.000000,1660000
2009-01-26,377.000000,377.000000,367.000000,373.000000,41572216832.000000,1307000
2009-01-27,370.000000,392.000000,370.000000,389.000000,43355488256.000000,4536000
2009-01-28,399.000000,399.000000,380.000000,395.000000,44024217600.000000,2692000
2009-01-29,410.000000,439.000000,405.000000,427.000000,47590723584.000000,4709000
2009-01-30,418.000000,424.000000,415.000000,415.000000,46253289472.000000,1361000
2009-02-02,414.000000,419.000000,407.000000,412.000000,45918920704.000000,859000
2009-02-03,417.000000,424.000000,398.000000,399.000000,44470034432.000000,1771000
2009-02-04,404.000000,416.000000,403.000000,411.000000,45807468544.000000,1629000
2009-02-05,410.000000,412.000000,398.000000,398.000000,44358569984.000000,1475000
2009-02-06,405.000000,406.000000,385.000000,392.000000,43689844736.000000,1028000
2009-02-09,395.000000,401.000000,380.000000,380.000000,42352406528.000000,842000
2009-02-10,384.000000,389.000000,377.000000,384.000000,42798215168.000000,1645000
2009-02-12,380.000000,382.000000,369.000000,369.000000,41126412288.000000,1037000
